Méta-thème,Thème,Code,Extrait
Ambivalence face à l'IA,Ambivalence face à l'IA,Ambivalence productive,"je sens aussi que ça me laisse plus de temps d'approfondir d'autres aspects de mon travail, donc d'un côté je trouve que c'est aussi plus un gain de temps qui permet de te concentrer vraiment sur l'analyse pure ou sur des raisonnements. Mais c'est vrai que ça me rend un peu paresseux."
Ambivalence face à l'IA,Ambivalence face à l'IA,Ambivalence technologique,"j'ai quand même toujours un peu cette peur de qu’ils trouvent un outil, comme le plagiat, qui te permettent de détecter quand tu utilises ChatGPT. C'est pour ça que j'essaye de réécrire, je me dis que c'est un peu trop facile quand même."
Ambivalence face à l'IA,Ambivalence face à l'IA,Normalisation de la technologie,"Je pense que le développement de l'intelligence artificielle, surtout ChatGPT, c'est comme... Pour moi c'est similaire à l'arrivée d'internet. Franchement, on se rend pas compte. Je trouve qu'on s'habitue très vite aussi. Au tout début, c'était il y a deux ans. Il y a que deux ans finalement. Genre, c'est une dinguerie, tu peux lui demander, il te fait un programme de sport et tu lui donnes tes objectifs. Maintenant, pour moi, ChatGPT c'est basique…"
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité cognitive,"Je lui demande en mode « Ben je remarquais que des organisations, elles parlent de ci, ça et ça, et elles le font de telle et telle manière. Qu’est-ce que ça te dit ? Comment tu définiras cette manière de faire ? » Et après il me propose des définitions qui sont juste et puis finalement qui viennent de moi-même en fait et qui permettent de résumer certaines idées en un concept."
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité technologique,"je lui demande en mode « Ben je remarquais que des organisations, elles parlent de ci, ça et ça, et elles le font de telle et telle manière. Qu’est-ce que ça te dit ? Comment tu définiras cette manière de faire ? » Et après il me propose des définitions qui sont juste et puis finalement qui viennent de moi-même en fait et qui permettent de résumer certaines idées en un concept. Je voyais que j'avais deux types d'organisation et je voyais qu'elles étaient différentes, mais je n'arrivais pas à les formuler. Du coup, il m'aide aussi à faire des typologies."
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité cognitive,"le raisonnement que je vais présenter dans un travail, je vais plutôt le faire moi-même et j'ai plutôt utilisé ChatGpt pour m'aider pour des choses externes, comme des biographies, des lectures, tout ça. Parce que je trouve que le raisonnement il n'est pas assez fort."
Dépendance à l'IA,Dépendance à l'IA,Adaptation à l'outil numérique,je pense que j'essaie de lui donner le plus d'informations possible quand je lui pose une question. Comme ça il a tous les éléments importants avant de répondre. Je pense que j'essaie de lui donner le plus d'informations possible quand je lui pose une question. Comme ça il a tous les éléments importants avant de répondre. Je suis sûre qu'il y a une réponse qui est précise.
Dépendance à l'IA,Dépendance à l'IA,Dépendance aux outils numériques,"je me rends compte que je me repose beaucoup sur ChatGPT, pour euh ben… vraiment pour l'écriture. Je me rends compte que j'ai perdu l'habitude d'écrire un truc de A à Z toute seule, sans passer par ChatGPT qui me reformule mieux. Je me dis que c'est un peu trop facile quand même."
Dépendance à l'IA,Dépendance à l'IA,Dépendance aux outils numériques,"je me dis bon, c'est pas grave. Parce que de toute façon, je demanderais ChatGPT, et puis c'est bon, tu vois. Du coup, moi, j'ai ce sentiment aussi que des fois, je suis en cours et je comprends rien. Puis je me dis bon, c'est pas grave. Parce que de toute façon, je demanderais ChatGPT."
Tensions autour de l'IA,Tensions autour de l'IA,Ressentiment de la paresse,"je sens que ça me rend un peu paresseux, parce que je me dis que je peux faire plus rapidement et que je n'ai pas besoin de me fatiguer autant."
